0,1.85,1,0.33,1,2.38,0,0.67,1,0.45,0,0.48,0,1.75,1,4.80,46971
0,3.75,0,0.87,1,3.22,1,0.65,0,3.18,0,0.00,1,0.23,0,3.83,35263
0,2.50,0,0.77,1,0.00,0,0.45,0,2.80,0,0.22,0,0.93,0,4.08,35271
0,3.02,0,0.67,0,1.55,1,1.13,0,9.47,0,0.25,0,0.40,0,3.08,17529
0,2.92,1,0.60,1,2.20,0,1.38,1,6.38,0,0.22,1,1.33,0,2.13,90998
0,3.85,0,0.30,1,1.20,0,1.40,0,5.55,0,0.37,0,1.90,1,1.02,73931
1,0.52,1,0.73,1,0.37,0,0.57,1,7.62,0,0.50,1,1.10,1,3.85,62792
1,4.23,1,0.68,0,1.00,0,0.02,0,4.62,1,0.03,0,0.23,0,0.00,40592
1,4.18,1,0.60,0,1.90,0,0.80,0,6.88,1,0.28,0,0.30,0,4.82,62990
1,3.22,1,0.98,1,0.08,0,0.40,0,0.82,0,0.42,0,1.58,0,1.10,76322
1,0.70,1,0.20,1,0.53,1,0.57,1,3.48,0,0.47,0,1.92,0,3.08,21726
1,4.52,1,0.18,0,0.17,0,0.00,1,2.62,1,0.08,1,2.07,0,1.67,79807
1,2.90,1,0.43,0,1.00,1,0.18,0,2.27,0,0.27,0,0.07,1,0.25,42255
1,0.22,0,0.93,1,1.13,1,1.50,1,9.40,0,0.22,0,0.72,0,2.12,5866
0,0.65,0,0.35,0,2.52,0,0.78,1,7.37,1,0.17,0,0.25,0,4.48,80141
1,2.42,0,0.95,0,0.53,1,1.45,1,3.83,1,0.17,1,2.00,0,2.73,55910
0,4.32,1,0.77,0,0.03,1,0.25,1,1.38,0,0.35,0,1.52,1,3.97,97343
1,1.12,1,0.13,0,0.18,0,1.02,0,0.27,1,0.40,1,1.57,1,3.10,57346
0,3.67,1,0.07,0,0.73,1,0.83,1,8.57,1,0.47,1,1.38,0,4.08,11465
0,0.80,1,0.88,1,1.55,1,0.68,0,9.75,0,0.37,1,0.92,0,0.08,19562
